Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Woodworker,-1,Carpenter,"Estimator Architectural Woodwork Installation - 2 plus years experience
Architectural Woodworking (North Shore)Full Time Estimator needed for busy Millwork Installation Subcontractor. Responsible for accurate construction document take-offs leading to reliable project estimates. Must be able to read and understand construction drawings. Experience with Bluebeam Software is a plus. Must have strong computer skills in Microsoft Word, Excel and Outlook. Excellent written and verbal communication skills are a must. Duties include: construction document take-offs, delineating project scopes of work and creating estimates, and organizing proposals to be submitted to the contractors. Must be able to work in a fast-paced environment and be able to multi-task.
Related keywords: woodworking, carpenter, construction, woodworker, carpentry
Job Type: Full-time
Education:",Archer Corporation,-1,"Malden, MA",-1,-1,-1,-1,-1,-1
PCAs: Homemakers & Housekeepers,-1,Housekeeper,"Join an amazing team that is just missing one member- YOU!
Housekeepers/PCA provides quality care and assists with chores in the client's home.
Homemakers/PCA works with families and parents in need by assisting in basic child care and housing management skills.
Qualifications: Must be trained to be a Certified Personal Care Aide.
We Offer:
Competitive wages
Union wages and benefits paid",Selfhelp,-1,"New York, NY",-1,-1,-1,-1,-1,-1
Warehouse Worker - Handler Hiring Event,-1,Warehouse Worker,"FedEx Express Hiring Event! Indianapolis, IN Hub!

Event Details
Date: Tuesday, April 13, 2021

Location: FedEx Express Recruitment Center, 6311 Airway Dr, Indianapolis, IN 46241 US

What We're Hiring For

Warehouse Worker - Handler

Warehouse Worker/Material Handler

Intake Details:
Requirements

Must be at least 18 years of age

Must have lived in the U.S. for the past five (5) years

If male born after 12/31/1959, must have registered with Selective Service

Must be able to read, speak, and understand the English language

What to bring to this event

Two (2) pieces of unexpired, government issued ID

Five (5) years residence and job history

What to wear

Dress code is Casual (come as you are, but please be presentable).

How to get to the event

Pull to back of the parking lot and enter door E.

About FedEx Express

FedEx Corporation provides customers and businesses worldwide with a broad portfolio of transportation, e-commerce, and business services. With annual revenues of $47 billion, the company offers integrated business applications through operating companies competing collectively and managed collaboratively, under the respected FedEx brand.

Consistently ranked among the world’s most admired and trusted employers, FedEx inspires its more than 325,000 team members to remain ""absolutely, positively” focused on safety, the highest ethical and professional standards, and the needs of their customers and communities.

What is a Hiring Event?
Think of it like a job fair, but for one company and more personal. Hiring events are a great way for employers to fill multiple roles quickly. Hiring is a human process, and they would like to meet you to see if you’re a fit!

https://careers.fedex.com/express/jobs?keywords=handler&stretchUnits=MILES&stretch=10&location=6648%20S.%20Perimeter%20Rd,%20Indianapolis,%20IN

https://www.youtube.com/embed/xytmh6t3Grk



Are you at least 18 years old?


Have you lived in the U.S. for the past five (5) years?

To provide movement of packages, documents, dangerous goods and/or supply support in a timely, safe and efficient manner through effective scan/load methods.

Able to lift 50lbs. Able to maneuver packages of any weight above 50lbs. with appropriate equipment and/or assistance from another person. Able to success fully complete all basic training. The ability to communicate both timely and effectively, in a noisy operations environment, is required.",FedEx Express,3.9,"Indianapolis, IN",10000+ Employees,1971,Subsidiary or Business Segment,Express Delivery Services,Transportation & Logistics,$10+ billion (USD)
Electrician - Journeyman - Limited Energy Technician,-1,Electrician,"BEST PAY – BEST COMPANY
We pay for experience!
Up to $6,000 sign-on bonus!
Join an established award-winning industry leader and earn more!
Due to growth, we are currently seeking Electricians - Limited Energy Technicians in Portland, OR.
We are proud to offer:
· Competitive hourly base salary - $32-$38 per hour based on experience",Secure Pacific,4.1,,1 to 50 Employees,2003,Company - Private,Security Services,Business Services,Unknown / Non-Applicable
Shipping & Receiving,-1,Receiver,"Qualifications

Day Shift (Required)
US work authorization (Required)
High school or equivalent (Preferred)
Manufacturing: 1 year (Preferred)

Job Description





Related keywords: warehouse, warehouse worker, shipping and receiving, shipping and receiving clerk",JClayton,-1,"Lakewood, NJ",-1,-1,-1,-1,-1,-1
Puller,-1,Order Selector,"Planer Chain Pullers
job duties include pulling and sorting finished lumber according to dimension, length and grade.
Related keywords: warehouse, warehouse worker
Job Type: Full-time
Pay: From $32,000.00 per year
Education:
High school or equivalent (Preferred)
Work Location:
One location",Frank Lumber Co. Inc.,-1,"Mill City, OR",-1,-1,-1,-1,-1,-1
Physical Therapist,-1,Physical Therapist,"Guardian Healthcare
RN Home Health - PRN
Poteau, OK and surrounding area
Millennium Home Care, an Evolution company, is looking for Physical Therapists to join their expanding team. Come be a part of a fast growing specialty and work with dedicated and passionate clinicians providing the highest quality care to patients and their families.
We offer rewarding PRN Physical Therapist opportunities to fit anyone’s schedule, including, competitive rates, Health and wellness benefits, Paid Holidays, PTO and career advancement.
Qualifications:",Millennium Home Care,3.6,"Poteau, OK",501 to 1000 Employees,2008,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Installation Technician,-1,Installer,"Sign Installation Technician
Do you want to work in a unique and fast paced environment?
MaineLine Graphics (http://www.mlgsigns.com/) is a family owned and operated sign company. We design, produce, and install residential apartment community signage.
This position requires extensive travel and some OT hours (no weekends).
Sign Installer Tasks
Install various types of signage including, interior wall mounted, exterior post mounted, vinyl application, etc.
Measure and level signage during install","MaineLine Graphics, LLC",-1,"Concord, NH",-1,-1,-1,-1,-1,-1
Doctor of Physical Therapy,-1,Physical Therapist,"About us:
We are a physical therapist owned private practice with 20 years of service. We have a supportive staff, a therapy cat and a great community of patients.
At our practice, we network with fitness clubs, high school athletics, and the general orthopedic population. You can work in an excellent setting with plenty of potential for growth.
We use a combined manual therapy approach that includes a wide range of effective and proven techniques. Some of the therapy services that we use include:
Orthopedic Manual Therapy
McKenzie Mechanical Assessment & Treatment",Advance Physical Therapy,4.3,"Burien, WA",1 to 50 Employees,1988,Private Practice / Firm,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD)
Full Time Assistant Teacher,-1,Teaching Assistant,"Full Time Assistant Teacher
Assistant Teacher
At Little Jewels Learning Center, we collaborate with working families for the personal growth, development, and education of each child. We are a locally owned and family-oriented preschool and childcare center in Bloomington-Normal, Illinois. We provide childcare for kids ages six weeks to school age. Our three locations each employ a team of licensed teachers and support staff who are motivated and passionate about children and teaching. The educators at Little Jewels Learning Center create bonds with the children and families as well as lifelong friendships with co-workers. Fun isn’t just for the kiddos in our care! Our team knows how to work and play together, and we’d love for you to join us!
As a member of our teaching staff, you will:
Create a safe, nurturing environment where children can play and learn.",Little Jewels Learning Center,4.7,"Normal, IL",1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD)
Warehouse Worker/Material Handler Hiring Event,-1,Material Handler,"FedEx Express Hiring Event! Indianapolis, IN Hub!

Event Details
Date: Tuesday, April 13, 2021

Location: FedEx Express Recruitment Center, 6311 Airway Dr, Indianapolis, IN 46241 US

What We're Hiring For

Warehouse Worker - Handler

Warehouse Worker/Material Handler

Intake Details:
Requirements

Must be at least 18 years of age

Must have lived in the U.S. for the past five (5) years

If male born after 12/31/1959, must have registered with Selective Service

Must be able to read, speak, and understand the English language

What to bring to this event

Two (2) pieces of unexpired, government issued ID

Five (5) years residence and job history

What to wear

Dress code is Casual (come as you are, but please be presentable).

How to get to the event

Pull to back of the parking lot and enter door E.

About FedEx Express

FedEx Corporation provides customers and businesses worldwide with a broad portfolio of transportation, e-commerce, and business services. With annual revenues of $47 billion, the company offers integrated business applications through operating companies competing collectively and managed collaboratively, under the respected FedEx brand.

Consistently ranked among the world’s most admired and trusted employers, FedEx inspires its more than 325,000 team members to remain ""absolutely, positively” focused on safety, the highest ethical and professional standards, and the needs of their customers and communities.

What is a Hiring Event?
Think of it like a job fair, but for one company and more personal. Hiring events are a great way for employers to fill multiple roles quickly. Hiring is a human process, and they would like to meet you to see if you’re a fit!

https://careers.fedex.com/express/jobs?keywords=handler&stretchUnits=MILES&stretch=10&location=6648%20S.%20Perimeter%20Rd,%20Indianapolis,%20IN

https://www.youtube.com/embed/xytmh6t3Grk



Are you at least 18 years old?


Have you lived in the U.S. for the past five (5) years?

To provide safe and efficient operation of equipment used for the movement of packages/documents/heavyweight, dangerous goods and ULDS (Unit Load Device System). To assist in the buildup/breakdown of pallets containing heavyweight freight. Serve as liaison between company and ULD repair vendor, as required.

Able to lift 50 lbs. Able to maneuver packages of any weight above 50lbs. with appropriate equipment and/or assistance from another person. Able to success fully complete all basic training. The ability to communicate both timely and effectively, in a noisy operations environment, is required. Must possess a valid driver's license for this position.",FedEx Express,3.9,"Indianapolis, IN",10000+ Employees,1971,Subsidiary or Business Segment,Express Delivery Services,Transportation & Logistics,$10+ billion (USD)
Occupational Therapist,-1,Occupational Therapist,"Millennium Home Care
Occupational Therapist - PRN
Durant, OK
Millennium Home Care, an Evolution Health Company, provides mobile integrated healthcare, delivering 24/7 clinical support where and when patients need it, by interprofessional care teams.
We are looking for a PRN Occupational Therapist who are passionate about healthcare and longing to make a difference. We’ll provide you with an environment where you can work with other dedicated clinicians who are empathetic, engaged, and compassionate.",Millennium Home Care,3.6,"Ardmore, OK",501 to 1000 Employees,2008,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Painter,-1,Painter,"Automotive Painter & Refinisher
Canton Auto Service & Body Shop is looking for a qualified Auto Painter
The perfect candidate is one who has 3 or more years of car paint experience. We offer good pay. Good working environment flexible schedule maybe required.
An Auto Painter is a person with experience in body shops painting vehicles that includes: Remove grease, dirt, paint, or rust from vehicle surfaces in preparation for paint application, using abrasives, solvents, brushes, blowtorches, washing tanks, or sandblasters. Smoothes surface with sandpaper and steel wool. Coats surfaces of contract units with primer, paint, lacquer, epoxy, resin or other material, using brushes, rollers, spray guns and other devices. Mixing paints by ratio utilizing provided mixing tools. Apply paint.
Requirements:",Canton Auto Service and Body SHop,-1,"Canton, MA",-1,-1,-1,-1,-1,-1
Lumber Associate,-1,Carpenter,"Lumberyard Associate
Jennings Builders Supply is hiring a full time lumberyard associate at our Cashiers, NC, location. For more than 36 years, Jennings Builders Supply has provided the highest quality home building materials, hardware, and services to contractors and homeowners throughout Western North Carolina. With locations in Brevard, Fletcher, Cashiers and Franklin, we’ve become the largest independent lumber dealer in WNC, and we’ve helped countless clients using our custom woodshop, installed sales, painting services, design centers, and full hardware stores. Jennings offers medical and dental insurance for their employees and families along with 401k, paid holidays, paid vacation, and sick days.
Duties include:
-Assisting customers",Jennings Builders Supply,4.5,"Cashiers, NC",51 to 200 Employees,-1,Company - Private,Home Centers & Hardware Stores,Retail,Unknown / Non-Applicable
Laborer,-1,Laborer,"General Laborer
1 Solution has been in business for over 10 years. We are a hydroseeding and landscape company committed to the quality of our work and exceeding our client’s expectations! The perfect candidate for this job will process the requirements below as well as the attitude of a team player and the willingness to take directions from superiors without questioning. On our job sites it is important both for safety reasons and to keep the pace of work smooth, that each of our employees know their job and be willing to learn!
We are willing to train any one who is willing to work hard and be reliable
__
**
***REQUIRED***",1 Solution,-1,"Brandy Station, VA",-1,-1,-1,-1,-1,-1
Direct Support Professional,-1,Direct Support Professional,"Sign-on bonus up to $500.00! No previous experience needed.
Ontario ARC of Canandaigua, NY, a Human Services Agency, is hiring immediately entry-level full-time, part-time, and per diem/relief Direct Support Professionals (DSP) to support adults with developmental disabilities in obtaining their life goals. The role of the DSP is to teach, encourage, inspire, mentor, influence, instruct, nurture, and praise the individuals that you support.
All COVID-19 safety requirements are strictly adhered to at Ontario ARC and all PPE are provided for all employees. The safety of the individuals we support and the safety of our employees are both very important to Ontario ARC. Training on all safety requirements will be provided during the onboarding process.
Our Story: Founded in 1954, Ontario ARC is a resource for people with disabilities or other challenges and their families, providing services and support that encourage people to fulfill their potential. When you join our team, you'll be making a difference every day; in someone else's life and in your own.",Ontario ARC,3.8,"Canandaigua, NY",501 to 1000 Employees,1954,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD)
Janitor and Cleaner,-1,Janitor,"Janitor and Cleaner
The Company: FBG Service Corporation is a rapidly growing employee owned industry leader in facility cleaning and is known for the great care we take with clients and employees alike. Opportunities to advance to supervisor and management positions after 90 days of employment with us.
Job Duties: Vacuuming, dusting, mopping, restroom cleaning. Candidates need to be able to lift 25 lbs. Must be able to pass a pre-employment criminal background check and drug testing. Must be authorized to work in the United States, EOE. Must be 18 years or over to apply.
The Position : We’re looking for flexible and dependable full and part time cleaning specialist with a sense of ownership, have an eye for detail, and have a strong desire to be part of a winning team.",FBG Service Corporation,3.8,"Lyons, NE",1001 to 5000 Employees,-1,Self-employed,General Repair & Maintenance,"Construction, Repair & Maintenance",$50 to $100 million (USD)
Direct Support Professional,-1,Direct Support Professional,"Caregiver/Direct Support Professional
The Caregiver/Direct Support Professional is responsible for providing direct support, care, teaching, and assistance to individuals with developmental disabilities with the overarching goals of increasing independence and quality of life for each resident. We believe that everyone deserves love, respect, and to truly enjoy their lives. Therefore, we are a team (like a family) who creates a loving, safe, and respectful environment.
We are looking to fill various shifts throughout the week. This can be combined with other shifts to create a full-time schedule.
Responsibilities:
Provide supervision and guidance for residents during skills building activities",A Broader Living Experience (ABLE),-1,"San Rafael, CA",-1,-1,-1,-1,-1,-1
Direct Support Professional,-1,Direct Support Professional,"Direct Support Professional (DSP)
Direct Support Professional - Residential Services or Community Connections
Are you looking for a challenging career where you can improve the lives of others? Then we are looking for YOU! Our DSPs help people served reach their individual goals by teaching life skills and helping connect people in their communities.
New Horizons Rehabilitation Inc. is a non-profit service provider for people with intellectual and developmental disabilities, and we are hiring full-time and part-time Direct Support Professionals (DSPs) to join our team in Batesville, Brookville, Lawrenceburg, Milan, Oldenburg, Osgood, Rising Sun, Sunman and West Harrison.
Job Type: Full-time and Part-Time (All shifts available.)","New Horizons Rehabilitation, Inc.",-1,"Batesville, IN",-1,-1,-1,-1,-1,-1
Cleaner,-1,Janitor,"Cleaning Staff
Cleaning and cooking for an upscale bed and breakfast in Lava Hot Springs. Wonderful place to work.
Related keywords: cleaning, housekeeping, cleaner
Job Type: Part-time
Pay: $12.00 - $15.00 per hour
Education:
High school or equivalent (Preferred)
Experience:",Lions Gate Manor LLC,-1,"Lava Hot Springs, ID",-1,-1,-1,-1,-1,-1
Speech Language Pathologist,-1,Speech Language Pathologist,"Millennium Home Care
Speech Therapist - PRN
Covering McAlester, Poteau or Durant OK
Millennium Home Care, an Evolution Health Company, provides mobile integrated healthcare, delivering 24/7 clinical support where and when patients need it, by interprofessional care teams.
We are currently looking for a Speech Therapist in the Oklahoma area, who is passionate about healthcare and longing to make a difference. We’ll provide you with an environment where you can work with other dedicated clinicians who are empathetic, engaged, and compassionate.",Millennium Home Care,3.6,"Poteau, OK",501 to 1000 Employees,2008,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Electrical Designer,-1,Electrical Designer,"At Ideal Aerosmith, we help our clients to escape the gravitational pull of complex challenges. We may be best known for developing motion testing hardware and software, but our biggest strength comes from our people and culture. Our team of professional problem solvers ask all the right questions, identify even the smallest opportunities and seek out answers where only the brave dare to tread. We've never let a challenge stop us and we are relentless in helping our customers succeed.
We always move forward.
Title: Electrical Designer
FLSA Status: Exempt
Position Description","IDEAL AEROSMITH, INC",2.4,"Grand Forks, ND",51 to 200 Employees,-1,Company - Private,-1,-1,$25 to $50 million (USD)
